name,latitude,longitude,address,city,source,,,,,,,,,,
Ticknor room,43.704463,-72.288231,6065 Webster Ave,"Hanover, NH",Google Maps,,,,,,,,,,
Rauner [Special Collections] Library,43.704463,-72.288231,6065 Webster Ave,"Hanover, NH",Google Maps,,,,,,,,,,
Dartmouth College,43.7031517,-72.2894135,,"Hanover, NH",Bing Maps,,,,,,,,,,
"Grand Junction, Colorado",39.0687904,-108.5644531,,"Grand Junction, CO",Bing Maps,,,,,,,,,,
Grand Junction,39.0687904,-108.5644531,,"Grand Junction, CO",Bing Maps,,,,,,,,,,
Dartmouth,43.7031517,-72.2894135,,"Hanover, NH",Bing Maps,,,,,,,,,,
Grand Junction Airport,39.12183,-108.5290298,,"Grand Junction, CO",Bing Maps,,,,,,,,,,
Philippines,12.924464,121.790292,,,Google Maps,,,,,,,,,,
America,37.160477,-96.277202,,,Google Maps,,,,,,,,,,
Denver,39.7400093,-104.9920197,,"Denver, CO",Bing Maps,,,,,,,,,,
Denver,39.7400093,-104.9920197,,"Denver, CO",Bing Maps,,,,,,,,,,
West Point,41.392657,-73.960164,,"West Point, NY",Google Maps,,,,,,,,,,
Thayer Hall,43.704699,-72.293876,14 Engineering Drive,"Hanover, NH",Google Maps,,,,,,,,,,
Commons or something [the Class of 1953 Commons],43.703192,-72.290462,6 Mass Row,"Hanover, NH",Google Maps,,,,,,,,,,
Wyoming,43.079076,-107.29193,,Wyoming,Google Maps,,,,,,,,,,
Colorado,39.56823,-105.783779,,Colorado,Google Maps,,,,,,,,,,
[Dartmouth] Green,43.703416,-72.288561,1 East Wheelock St,"Hanover, NH",Google Maps,,,,,,,,,,
Vail ski area,39.6452904,-106.3861923,,"Vail, CO",Bing Maps,,,,,,,,,,
Fort Devens [Massachusetts],42.5371399,-72.6154938,,"Fort Devens, MA",Bing Maps,,,,,,,,,,
Fort Devens,42.5073013,-71.666687,,"Fort Devens, MA",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
"Fort Benning, Georgia",32.3574905,-84.9562302,,"Fort Benning, GA",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Cuba,21.64806,-77.794201,,,Google Maps,,,,,,,,,,
Guantanamo [Bay Detention Camp],19.9850464,-75.1393661,,,Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Bremen [Germany],53.0750999,8.8046904,,"Bremen, Germany",Bing Maps,,,,,,,,,,
Munich,48.1364098,11.5775404,,"Munich, Germany",Bing Maps,,,,,,,,,,
Mainz,50.0006218,8.2724104,,"Mainz, Germany",Bing Maps,,,,,,,,,,
Mainz,50.0006218,8.2724104,,"Mainz, Germany",Bing Maps,,,,,,,,,,
,,,,,,,,,,,,,,,
Mainz,50.0006218,8.2724104,,"Mainz, Germany",Bing Maps,,,,,,,,,,
Germany,51.251508,10.487078,,,Google Maps,,,,,,,,,,
Germany,51.251508,10.487078,,,Google Maps,,,,,,,,,,
Belgium,50.504433,4.470108,,,Google Maps,,,,,,,,,,
Spain,40.463823,-3.749513,,,Google Maps,,,,,,,,,,
Spain,40.463823,-3.749513,,,Google Maps,,,,,,,,,,
States,37.160477,-96.277202,,,Google Maps,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,
Fulda Gap,50.6166649,9.416667,,"Fulda Gap, Germany",Bing Maps,,,,,,,,,,
Fulda Gap,50.6166649,9.416667,,"Fulda Gap, Germany",Bing Maps,,,,,,,,,,
Germany,51.251508,10.487078,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Germany,51.251508,10.487078,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Germany,51.251508,10.487078,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
U.S.,37.160477,-96.277202,,,Google Maps,,,,,,,,,,
Germany,51.251508,10.487078,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
States,37.160477,-96.277202,,,Google Maps,,,,,,,,,,
States,37.160477,-96.277202,,,Google Maps,,,,,,,,,,
States,37.160477,-96.277202,,,Google Maps,,,,,,,,,,
Candlestick Park,37.7134705,-122.386116,602 Jamestown Ave,"San Francisco, CA",Bing Maps,,,,,,,,,,
Fort Benning,32.3574905,-84.9562302,,"Fort Benning, GA",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Philippines,12.924464,121.790292,,,Google Maps,,,,,,,,,,
Tan Son Nhut Air Base,10.8144598,106.6652222,,"Tan Son Nhut, Vietnam",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Chu Lai,15.993291,108.255581,,"Chu Lai, Vietnam",Google Maps,,,,,,,,,,
Chu Lai Air Base,15.4146099,108.7039719,,"Chu Lai, Vietnam",Bing Maps,,,,,,,,,,
Chu Lai,15.993291,108.255581,,"Chu Lai, Vietnam",Google Maps,,,,,,,,,,
Hill 59,,,,,,,,,,,,,,,
Germany,51.251508,10.487078,,,Google Maps,,,,,,,,,,
Iraq,33.224653,43.679497,,,Google Maps,,,,,,,,,,
Afghanistan,33.939593,67.709967,,,Google Maps,,,,,,,,,,
Da Nang,16.0479698,108.2107086,,"Đà Nang, Vietnam",Bing Maps,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Iraq,33.224653,43.679497,,,Google Maps,,,,,,,,,,
Afghanistan,33.939593,67.709967,,,Google Maps,,,,,,,,,,
Watts,33.9412804,-118.2390289,,"Watts, CA",Bing Maps,,,,,,,,,,
Harlem,40.8088112,-73.9479599,,"Harlem, NY",Bing Maps,,,,,,,,,,
Puerto Rico,18.220838,-66.590149,,,Google Maps,,,,,,,,,,
Hawaii,19.898745,-155.581358,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Tam Kỳ,15.5647583,108.495018,,"Tam Kỳ, Vietnam",Bing Maps,,,,,,,,,,
Chu Lai,15.993291,108.255581,,"Chu Lai, Vietnam",Google Maps,,,,,,,,,,
Da Nang,16.0479698,108.2107086,,"Đà Nang, Vietnam",Bing Maps,,,,,,,,,,
South Vietnam,,,,,,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Idaho,44.068096,-114.741506,,,Google Maps,,,,,,,,,,
Tam Kỳ,15.5647583,108.495018,,"Tam Kỳ, Vietnam",Bing Maps,,,,,,,,,,
Chu Lai Airport [sic; Air Base],15.4146099,108.7039719,,"Chu Lai, Vietnam",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Tam Kỳ,15.5647583,108.495018,,"Tam Kỳ, Vietnam",Bing Maps,,,,,,,,,,
Tam Kỳ,15.5647583,108.495018,,"Tam Kỳ, Vietnam",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Tam Kỳ,15.5647583,108.495018,,"Tam Kỳ, Vietnam",Bing Maps,,,,,,,,,,
Tam Kỳ,15.5647583,108.495018,,"Tam Kỳ, Vietnam",Bing Maps,,,,,,,,,,
Tam Kỳ,15.5647583,108.495018,,"Tam Kỳ, Vietnam",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
U.S.,37.160477,-96.277202,,,Google Maps,,,,,,,,,,
Fort Devens,42.5073013,-71.666687,,"Fort Devens, MA",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
U.S.,37.160477,-96.277202,,,Google Maps,,,,,,,,,,
Massachusetts,42.407091,-71.382293,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
the Colorado River,34.261396,-114.130034,,,Google Maps,,,,,,,,,,
Colorado River,34.261396,-114.130034,,,Google Maps,,,,,,,,,,
Colorado River,34.261396,-114.130034,,,Google Maps,,,,,,,,,,
Saigon,10.8219604,106.6400375,,"Ho Chi Minh City, Vietnam",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
San Francisco,37.7771187,-122.4196396,,"San Francisco, CA",Bing Maps,,,,,,,,,,
"Calcutta [now called Kolkata, India]",22.5705395,88.3712387,,"Kolkata, India",Bing Maps,,,,,,,,,,
Calcutta,22.5705395,88.3712387,,"Kolkata, India",Bing Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Malaysia,4.210227,101.97568,,,Google Maps,,,,,,,,,,
Iraq,33.224653,43.679497,,,Google Maps,,,,,,,,,,
Vietnam,14.065122,108.271248,,,Google Maps,,,,,,,,,,
Iraq,33.224653,43.679497,,,Google Maps,,,,,,,,,,
Afghanistan,33.939593,67.709967,,,Google Maps,,,,,,,,,,
